"","add0","add1","add2","add3","mwqg"
"338","동구","추동",NA,NA,3.125
"339","동구","학동","","방학교",5
"340","동구","효목동","","제1아양교",7
"341","동대문구","신설동","","성북천교",1.5
"342","동대문구","신설동","성북천교",NA,2
"343","동대문구","용두동","","정릉천교",3
"344","동대문구","용두동","정릉천교",NA,5
"345","동대문구","장안동","장안교",NA,4
"346","동두천시","생연동","","신천교",7
"347","동두천시","생연동","신천교",NA,7
"348","동두천시","하봉암동","327-50","하봉암교",7
"349","동래구","안락동","연안교",NA,3
"350","동래구","안락동","원동교",NA,6
"351","동작구","신대방동","","신대방역",2
"352","동작구","신대방동","신대방역",NA,7
"353","동해시","신흥동","","신흥국교앞",1.5
"354","동해시","이로동","댐중앙",NA,1.85714285714286
"355","마포구","성산동","","불광천",3.66666666666667
"356","마포구","성산동","불광천","합류점밑",3
"357","목포시","옥암동","방조제앞",NA,4.08695652173913
"358","무안군","몽탄면","명산리","몽탄대교",5.09677419354839
"359","무안군","무안읍","용월리","송촌교상류교량",6.33333333333333
"360","무안군","삼향읍","","방조제앞",4.4
"361","무안군","일로읍","용산리","양도앞",4.5
"362","무주군","무주읍","용포리","용포교",7
"363","무주군","무주읍","읍내리","금강본류합류전",2.55555555555556
"364","무주군","무주읍","읍내리","중앙교",4.5
"365","무주군","안성면","진도리","세월교",2.42857142857143
"366","문경시","영순면","김용리",NA,2.75
"367","문경시","영순면","말응리","낙동강합류점",2.85714285714286
"368","문경시","영순면","말응리","물탕거리앞",2.9
"369","밀양시","가곡동","(예림교)","예림교",2
"370","밀양시","단장면","고례리","댐앞",1.22222222222222
"371","밀양시","단장면","고례리",NA,1.5
"372","밀양시","무안면","성덕리","강동교",2.85714285714286
"373","밀양시","삼랑진읍","삼랑리","삼랑진교",5.08
"374","밀양시","삼문동","(밀양교)","밀양교",2.5
"375","밀양시","상남면","평촌리","삼상교",4.42857142857143
"376","밀양시","상동면","고정리","무명교",3.30434782608696
"377","밀양시","상동면","옥산리","상동교",3.5
"378","밀양시","하남읍","수산리","수산교",6.18181818181818
